hashtag,video_id,title,description,channel_title,publish_date,view_count,like_count
#shakespear,t_X1dbO-quI,Dame Judi Dench stuns everyone with her Shakespeare sonnet reading | The Graham Norton Show - BBC,"Legendary actor Dame Judi Dench left everyone stunned on The Graham Norton Show with her incredible reading of Shakespeare’s ‘Sonnet 29’ from memory.

#GrahamNorton #JudiDench #DameJudiDench #Shakespeare #BBCShakespeare #Comedy 

Subscribe and 🔔 to the BBC 👉 https://bit.ly/BBCYouTubeSub
Watch the BBC first on iPlayer 👉 https://bbc.in/iPlayer-Home

Together on Graham’s sofa this week: Dame Judi Dench, discussing her book 'Shakespeare: The Man Who Pays The Rent', the Terminator himself, Arnold Schwarzenegger, promoting his road map for life, 'Be Useful: Seven Tools For Life', top comedian and actor Jack Whitehall, and The Repair Shop’s Jay Blades, talking about his memoir 'Life Lessons'.

With music from the legendary Duran Duran, performing their new single, 'Black Moonlight'.",BBC,2023-11-01T17:00:42Z,1632141,25589
#shakespear,4GSCWDa1qcE,Shakespeare in Seven Minutes: Macbeth Summary #macbeth #shakespeare #gcseenglish,"(Macbeth summary - in 7 minutes)

✅📖🎧Free Audible For 30 days: https://amzn.to/46hTQEr

✅ My recommended version of Macbeth: https://amzn.to/4jNrTYh 
📖 Study guide: https://amzn.to/42Qvxd4
🎧Audible Audiobook: https://amzn.to/4cSj9hu

🖼️✏️ My Drawing Tablet: https://amzn.to/3Fdrxf9

An entertaining and concise summary of William Shakespeare's Macbeth. Subscribe to my channel for follow up videos providing an in-depth study guide coming soon!
(Animated summary of Shakespeare's Macbeth, for A Level, GCSE, IGCSE, IB and University English Literature)

If you liked this summary of Macbeth, then you might like this video:

The Tempest Summary: https://youtu.be/qoSStmQuisM
Jekyll and Hyde: https://youtu.be/axwzlXzl-Ik
An Inspector Calls: https://youtu.be/Dc7-wKFR5y8
A Christmas Carol: https://youtu.be/8fzPJUtstn4

Or if you want more videos on Macbeth, then you might like one of these videos:

Top 12 Most Important Macbeth: Quotes https://youtu.be/n5qJunGUsZM
Lady Macbeth Character Analysis: https://youtu.be/KV2hlM2pkS8
Macbeth Character Analysis: https://youtu.be/nzFUDjSzo-o

0:00 Introduction
1:15 Macbeth Summary Act 1
2:30 Macbeth Summary Act 2
3:37 Macbeth Summary Act 3
4:26 Macbeth Summary Act 4
5:18 Macbeth Summary Act 5


Links to some of my favourite versions of Macbeth:

https://www.amazon.co.uk/Grade-9-1-GCSE-English-Macbeth/dp/1841461202/ref=asc_df_1841461202/?tag=googshopuk-21&linkCode=df0&hvadid=310839712782&hvpos=&hvnetw=g&hvrand=2958896337502404106&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1006602&hvtargid=pla-454555098680&psc=1&th=1&psc=1

https://www.amazon.co.uk/Oxford-School-Shakespeare-Macbeth-William/dp/0198324006/ref=asc_df_0198324006/?tag=googshopuk-21&linkCode=df0&hvadid=310587087500&hvpos=&hvnetw=g&hvrand=2958896337502404106&hvpone=&hvptwo=&hvqmt=&hvdev=c&hvdvcmdl=&hvlocint=&hvlocphy=1006602&hvtargid=pla-419666435507&psc=1&th=1&psc=1

Music used in this video:

Happy and Joyful Children by Free Music https://youtu.be/lv1YPeP1O8k​
Creative Commons — Attribution 3.0 Unported  — CC BY 3.0 
Free Download / Stream: http://bit.ly/2PV1WMi​
Music promoted by Audio Library https://youtu.be/zXnuDrEN9Xo

Renaissance by Audionautix
Creative Commons — Attribution 3.0 Unported— CC BY 3.0
https://creativecommons.org/licenses/...​
Music provided by FreeMusic109 https://youtube.com/FreeMusic109​

Part of my series, Macbeth GCSE Revision.

#macbeth #shakespeare #gcseenglish #gcserevision",Easy as GCSE,2021-02-28T17:35:27Z,2173550,38950
#shakespear,qoSStmQuisM,Shakespeare in Seven Minutes: The Tempest Summary #thetempest #shakespeare,"(The Tempest Summary in 7 minutes)

🖼️✏️ My Drawing Tablet: https://amzn.to/3Fdrxf9

A short and entertaining summary of William Shakespeare's play, The Tempest. Subscribe to my channel for follow up videos providing an in-depth study guide coming soon!
(Animated summary of The Tempest, for A Level, GCSE, IGCSE, IB and University English Literature)

If you liked this summary of The Tempest, then you might like these videos:

The Tempest Quiz: https://youtu.be/rgQdMHDv18c
Prospero Character Analysis: https://youtu.be/VbtHzNIH3t0
Macbeth summary: https://youtu.be/4GSCWDa1qcE
Jekyll and Hyde: https://youtu.be/axwzlXzl-Ik
An Inspector Calls: https://youtu.be/Dc7-wKFR5y8
A Christmas Carol: https://youtu.be/8fzPJUtstn4

0:00 The Tempest Summary Act 1 
2:49 The Tempest Summary Act 2 
4:14 The Tempest Summary Act 3 
5:27 The Tempest Summary Act 4 
6:03 The Tempest Summary Act 5 

Music used in this video:

Happy and Joyful Children by Free Music https://youtu.be/lv1YPeP1O8k​
Creative Commons — Attribution 3.0 Unported  — CC BY 3.0 
Free Download / Stream: http://bit.ly/2PV1WMi​
Music promoted by Audio Library https://youtu.be/zXnuDrEN9Xo

Dark Woods Tavern by Ean Grimm: 
Check out his other work at tubersongs.com or here on YouTube using the link below
https://www.youtube.com/user/DigitalTracks4free

Part of my series, Shakespeare GCSE Revision. (For grade 9 English too)

#thetempest #shakespeare #gcseenglish #gcserevision",Easy as GCSE,2021-08-03T20:35:08Z,329568,4654
#shakespear,wnvjEwa8r9g,"Shakespeare's Most Inspiring Quotes, 3rd One Hits The Hardest.",#shakespeare #quotes #quotesaboutlife #quotesfromhistory #quoteoftheday #quotestoliveby #SHORTS #philosophy #ancientrome #theartofthinking #artofthinking,The Art of Thinking,2023-05-07T14:15:03Z,104158,3279
#shakespear,d3T7CheR1GY,What Did Shakespeare Really Sound Like? 🎭🗣️,"Ever wondered what William Shakespeare’s accent actually sounded like? 🤔 The English he spoke, known as Original Pronunciation (OP), was quite different from modern British or American accents! 🇬🇧🇺🇸

Shakespeare’s accent had hints of Irish, Scottish, and even American-sounding twangs! His plays rhymed better in OP, and puns made more sense. 🎭✨

Linguists have reconstructed this lost accent using historical phonetics and rhyming patterns in his plays. The result? A raw, lively, and expressive sound—very different from the posh Shakespearean tone we often hear today!

Want to hear it for yourself? Drop a 🎭 in the comments! ⬇️

#Shakespeare #OriginalPronunciation #History #EnglishAccent",English Made Simple,2025-03-30T03:08:13Z,10051,146
#shakespear,PpoTxFKVuIY,Did Shakespeare Really Exist?,#shorts #history #school #shakespeare #weird #theory,Newcents,2024-05-25T08:34:57Z,45977,1387
#shakespear,3sP7kfLzlkc,The Romantacized Tragedy of Romeo and Juliet #art #history #romeoandjuliet #shakespeare,"""Juliet,"" painted by John William Waterhouse in 1898 and ""Romeo and Juliet,"" painted in Frank Dicksee in 1884

The first painting is Frank Dicksee's Romeo and Juliet. I've always thought it as visually stunning- in fact, in may be one of my favorite paintings visually. When I say I'm not a fan of it, I mean entirely as a representation of Romeo and Juliet. In contrast, the second painting, Juliet, by Waterhouse, has always been one of my favorite paintings of the play, because even though it's less stunning than Dicksee's artwork- it feels like it truly captures how young and naive Juliet was- which makes the story so much more tragic.

Short background on Romeo and Juliet's story 👇

Romeo and Juliet is a tragic love story written by William Shakespeare, centered on two young lovers from feuding families in Verona: the Montagues and the Capulets. When Romeo Montague crashes a Capulet party, he meets Juliet, and the two instantly fall in love, unaware of each other’s identity. Despite the hatred between their families, they secretly marry the next day with the help of Friar Laurence, hoping their union might end the bitter rivalry. But as tensions escalate—fueled by duels, revenge, and miscommunication—Romeo kills Juliet’s cousin Tybalt and is banished from Verona.
Their separation sets off a tragic chain of events. Juliet fakes her death to be with Romeo, but the message explaining her plan never reaches him. Believing she is truly dead, Romeo takes his own life beside her. When Juliet awakens and finds Romeo dead, she ends her life as well. Their deaths finally shock the Montagues and Capulets into peace, but only after love, innocence, and youth are destroyed. Romeo and Juliet remains a timeless story of passion, impulsive choices, and the devastating cost of hatred.

Thanks for enjoying and learning about this beautiful art piece with me! ❤️",Brushes with Antiquity,2025-05-02T16:00:07Z,446659,11544
#shakespear,hMvVuzkV_iU,Shakespeare’s birthplace #history #britishhistory #shakespeare #williamshakespeare,,Alice Loxton,2025-01-19T13:25:40Z,16807,1629
#shakespear,oQStnOFOyNA,Tom Hiddleston as Coriolanus🤩😮  #NationalTheatre #TomHiddleston #Shakespeare,,National Theatre,2024-06-01T13:00:48Z,31281,1894
#shakespear,BvSoT94dqcs,Shakespeare’s birthplace #history #britishhistory #shakespeare,,Alice Loxton,2025-03-16T10:48:29Z,22603,2223
